Date,portfolio_value,daily_returns,portfolio_value_after_tc_5bps,portfolio_value_after_tc_10bps,portfolio_value_after_tc_20bps,portfolio_value_after_tc_50bps
2024-08-29,1.2125369962138248,0.002668750586389157,1.2108089575649164,1.2090828756694803,1.205636575533999,1.1953444656464969
2024-08-30,1.2182030784915958,0.004672914967100761,1.2164669648650213,1.214732817135661,1.2112704127326959,1.2009302086908575
2024-09-02,1.2221541597030545,0.003243368270215763,1.22041241522063,1.2186726430115487,1.2151990087560038,1.2048252676244686
2024-09-03,1.2228985803264123,0.0006091053386740874,1.221155774938125,1.219414943024503,1.2159391929597887,1.2055591331271482
2024-09-04,1.2214270635268087,-0.0012033024024042938,1.219686355260432,1.2179476180940338,1.2144760504077226,1.2041084809260159
2024-09-05,1.218204829023588,-0.0026380899846091266,1.216468712902255,1.2147345626809614,1.211272153302594,1.2009319344021019
2024-09-06,1.2076223408943085,-0.008686953028877453,1.205901306332174,1.204182220592398,1.2007498890016677,1.190499495097072
2024-09-09,1.2107104005659886,0.002557140230937671,1.2089849650771365,1.2072614833940545,1.2038203748501275,1.1935437692508954
2024-09-10,1.2152699939877247,0.003766047949703477,1.2135380604260875,1.2118080880283468,1.2083540201046432,1.1980387123159646
2024-09-11,1.211208500372763,-0.0033420504373965487,1.2094823550204432,1.207758164277711,1.2043156400232227,1.1940348065134505
2024-09-12,1.2337222352897566,0.01858782770271561,1.2319640046450377,1.230207764941853,1.2267012516396598,1.2162293197679683
2024-09-13,1.2331758418584544,-0.000442882048870441,1.2314183899025262,1.2296629280063796,1.2261579676759817,1.215690673634933
2024-09-16,1.2337233042706306,0.0004439451322295618,1.231965072102461,1.2302088308775507,1.226702314537076,1.21623037359179
2024-09-17,1.2350620546657354,0.00108513018313805,1.2333019145867712,1.231543767611499,1.2280334462443052,1.2175501418798238
2024-09-18,1.231072353232735,-0.003230365160947435,1.2293178990489604,1.2275654315304247,1.2240664497830798,1.2136170103197887
2024-09-19,1.2330887137329636,0.0016378895155380047,1.231331385947076,1.2295760480803655,1.2260713353875012,1.21560478089687
2024-09-20,1.2494304417762463,0.013252678303907972,1.2476498246905379,1.245871223895765,1.2423200643730343,1.2317148000027889
2024-09-23,1.2576831487927955,0.0066051752387406015,1.2558907704192026,1.2541004216545009,1.2505258061008218,1.2398504921009574
2024-09-24,1.2562603388228561,-0.0011312944530624813,1.2544699881569754,1.2526816648038996,1.2491110931929688,1.2384478561166172
2024-09-25,1.2580297689615623,0.0014084900112059096,1.256236896604652,1.254446054415997,1.2508704536906174,1.2401921975513563
