Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2024-03-14,3084.628173828125,1256.3212890625,6005.41259765625,2833.490234375,1056.5308837890625,8110.41357421875,1561.9530029296875,636.6866455078125,192.96139526367188,1187.9796142578125,1484.066650390625,402.4777526855469,3496.440185546875,1251.5089111328125,3731.30712890625,2188.091552734375,1615.060791015625,1420.218994140625,618.431640625,4527.625,522.2561645507812,2288.013427734375,1074.35107421875,1460.535400390625,1612.006103515625,398.58514404296875,777.2520141601562,1740.492431640625,3546.977294921875,1861.8497314453125,11297.88671875,2574.090576171875,314.91876220703125,249.99098205566406,257.4053955078125,1426.633056640625,1500.29443359375,714.4813232421875,453.0222473144531,1550.7548828125,1181.3887939453125,959.5003662109375,136.45443725585938,4110.9931640625,1235.937744140625,3617.391357421875,4074.77197265625,9639.783203125,253.92921447753906
2024-03-15,3129.337158203125,1271.3336181640625,5965.580078125,2809.2919921875,1044.7001953125,8078.63427734375,1569.6943359375,648.32080078125,186.6364288330078,1213.2388916015625,1475.5389404296875,390.7619323730469,3464.138427734375,1249.5802001953125,3704.60302734375,2188.689453125,1584.3321533203125,1417.48681640625,628.4696655273438,4440.46728515625,529.5145263671875,2281.2509765625,1071.1287841796875,1468.052001953125,1593.1881103515625,398.062744140625,772.502197265625,1736.39697265625,3477.1328125,1772.181884765625,11369.263671875,2565.125,309.48822021484375,245.71762084960938,257.018798828125,1413.4278564453125,1497.1505126953125,705.659423828125,448.1391296386719,1529.0274658203125,1194.99365234375,937.7870483398438,135.7360076904297,4122.3759765625,1225.2825927734375,3610.48486328125,4057.598388671875,9576.1611328125,253.46347045898438
2024-03-18,3108.906005859375,1255.0826416015625,6118.478515625,2788.66943359375,1059.6259765625,8244.1591796875,1575.2882080078125,647.35546875,187.67410278320312,1218.509521484375,1475.935546875,396.97271728515625,3485.209228515625,1260.744140625,3659.156494140625,2194.66650390625,1580.581298828125,1411.046630859375,630.2089233398438,4410.35009765625,528.12255859375,2254.054443359375,1071.9715576171875,1464.4420166015625,1562.6212158203125,396.49560546875,796.0042724609375,1735.997314453125,3500.77490234375,1827.8734130859375,11527.4189453125,2542.170166015625,310.3199462890625,248.42408752441406,256.00408935546875,1434.60595703125,1486.8699951171875,704.7434692382812,456.4720764160156,1551.7919921875,1170.150146484375,964.1603393554688,143.3992919921875,4057.15869140625,1216.1566162109375,3557.3193359375,4064.7373046875,9554.6875,250.1297149658203
2024-03-19,3049.909912109375,1229.91357421875,6095.197265625,2757.90771484375,1049.0931396484375,8358.7021484375,1579.733154296875,656.4716186523438,183.2268524169922,1221.5426025390625,1423.6290283203125,394.33782958984375,3426.12158203125,1219.7568359375,3676.118896484375,2165.478515625,1538.0225830078125,1414.2667236328125,628.6187744140625,4398.29345703125,530.6082763671875,2221.712890625,1074.6981201171875,1418.353759765625,1522.4501953125,388.99212646484375,792.689208984375,1747.7344970703125,3442.284423828125,1815.9078369140625,11488.5361328125,2459.1171875,306.6996154785156,246.1924285888672,250.3022003173828,1420.4290771484375,1458.5738525390625,697.8497924804688,452.13262939453125,1529.274169921875,1130.0262451171875,949.5856323242188,142.48928833007812,3885.981201171875,1196.6622314453125,3560.99609375,3949.51611328125,9397.5205078125,242.604248046875
2024-03-20,3048.6611328125,1234.075439453125,6155.86767578125,2767.50830078125,1033.0692138671875,8354.251953125,1582.9295654296875,661.7711791992188,185.25283813476562,1224.9735107421875,1405.48291015625,394.7613220214844,3407.38671875,1213.47412109375,3831.151123046875,2159.20263671875,1526.4329833984375,1396.40966796875,622.55615234375,4367.98193359375,524.84130859375,2197.2119140625,1075.243408203125,1425.7220458984375,1516.112548828125,394.8334655761719,786.3560180664062,1763.46728515625,3450.148681640625,1816.4002685546875,11829.4169921875,2512.515380859375,306.89532470703125,250.56076049804688,255.76246643066406,1438.866455078125,1455.6295166015625,709.8534545898438,457.5099792480469,1530.1630859375,1108.1405029296875,932.43310546875,139.51976013183594,3879.72802734375,1208.1773681640625,3568.0517578125,3958.90185546875,9428.6357421875,241.94239807128906
2024-03-21,3063.697509765625,1250.9703369140625,6164.29296875,2763.83447265625,1033.917724609375,8465.5048828125,1600.8096923828125,668.364501953125,194.5426788330078,1214.034423828125,1436.5196533203125,406.5711975097656,3444.1611328125,1218.4248046875,3876.00390625,2197.10693359375,1534.800537109375,1410.7537841796875,618.431640625,4377.1337890625,536.623779296875,2197.604248046875,1072.5665283203125,1467.8046875,1515.8687744140625,400.1048583984375,803.8712768554688,1770.2098388671875,3499.59521484375,1837.5245361328125,11796.7265625,2515.864990234375,318.0008850097656,249.7061004638672,264.5568542480469,1446.0670166015625,1465.26123046875,717.61474609375,456.8377990722656,1545.8167724609375,1117.900390625,956.6746826171875,143.78245544433594,3881.731201171875,1225.808349609375,3604.8701171875,3995.644775390625,9544.150390625,245.34970092773438
2024-03-22,3104.859619140625,1269.9461669921875,6357.123046875,2783.771240234375,1031.62158203125,8653.8134765625,1585.7764892578125,672.8579711914062,195.881591796875,1229.2496337890625,1468.7960205078125,406.4771423339844,3410.517578125,1233.33642578125,3944.69287109375,2215.0380859375,1498.30126953125,1407.9239501953125,620.0217895507812,4536.05029296875,544.6278686523438,2211.5205078125,1080.9940185546875,1495.497314453125,1471.1639404296875,407.0859375,816.1912841796875,1774.4552001953125,3556.41455078125,1850.278076171875,12222.2568359375,2535.32275390625,317.75628662109375,249.99098205566406,266.4897155761719,1450.1033935546875,1498.2484130859375,719.9287719726562,460.77197265625,1588.9757080078125,1106.8590087890625,971.4476318359375,145.41091918945312,3821.105712890625,1206.6005859375,3683.525146484375,3942.477294921875,9624.6728515625,238.80474853515625
2024-03-26,3107.107666015625,1292.3406982421875,6303.8310546875,2757.466552734375,1038.8597412109375,8668.615234375,1592.119384765625,687.7066040039062,197.76602172851562,1206.3770751953125,1459.8717041015625,410.2412414550781,3370.314208984375,1219.7469482421875,3868.239990234375,2231.474853515625,1502.5330810546875,1390.896484375,623.0531616210938,4523.60595703125,555.4658203125,2195.301025390625,1074.4501953125,1502.0247802734375,1455.36865234375,406.18359375,813.3216552734375,1751.780029296875,3607.8271484375,1835.6534423828125,12135.921875,2547.8349609375,322.0126037597656,252.12767028808594,260.9811096191406,1436.6988525390625,1483.576416015625,713.5172119140625,469.04559326171875,1578.3094482421875,1096.8033447265625,977.7930908203125,145.9856414794922,3788.472412109375,1198.6689453125,3675.078369140625,3875.73095703125,9544.1005859375,235.25038146972656
2024-03-27,3119.24658203125,1310.7716064453125,6213.09912109375,2772.994384765625,1051.1396484375,8863.9853515625,1580.8819580078125,698.9177856445312,197.81561279296875,1218.0123291015625,1451.0465087890625,404.1245422363281,3347.3056640625,1201.7037353515625,3870.910400390625,2198.900146484375,1487.0965576171875,1405.8260498046875,622.5064697265625,4428.12060546875,554.4714965820312,2195.0068359375,1074.4998779296875,1516.7117919921875,1446.7884521484375,406.51605224609375,809.5117797851562,1773.656005859375,3643.510986328125,1852.59228515625,12393.291015625,2528.475341796875,324.458740234375,248.5665283203125,261.1744079589844,1487.8004150390625,1476.7393798828125,707.0092163085938,471.7738037109375,1584.28466796875,1075.607666015625,970.3074951171875,146.2730255126953,3752.712646484375,1198.1434326171875,3735.895751953125,3869.19091796875,9566.716796875,231.54891967773438
2024-03-28,3194.177978515625,1329.6484375,6338.0791015625,2788.914794921875,1045.4989013671875,8850.103515625,1642.013427734375,721.0614013671875,199.84881591796875,1221.7911376953125,1484.364013671875,408.5003356933594,3424.283203125,1224.3297119140625,3975.25439453125,2278.5439453125,1484.5478515625,1412.851806640625,629.4635620117188,4573.140625,557.056640625,2219.1650390625,1083.9683837890625,1535.9482421875,1460.6337890625,406.84844970703125,821.5349731445312,1783.545166015625,3700.035400390625,1892.18212890625,12482.4482421875,2583.548828125,328.56829833984375,254.54922485351562,267.60107421875,1480.8240966796875,1497.4000244140625,725.3761596679688,466.5249328613281,1600.4814453125,1080.6846923828125,984.3368530273438,149.29046630859375,3787.300048828125,1192.6964111328125,3778.031005859375,3941.878173828125,9691.67578125,235.37294006347656
